"yearold","stnum","adopt","fiscal","eelct1","elect2","income","neighbor","religion","gov6099","cit6099","wideodif","year","ideodistgov6099","malideodistgov6099","ideology_relative_berry"
68,8,0,-0.137999996542931,1,0,96.620002746582,0,2.90000009536743,72.6636734008789,56.2584495544434,5.38366985321045,5,22.7619018554688,22.7619018554688,22.7619037628174
69,8,0,-0.0900000035762787,0,0,96.5999984741211,0,2.90000009536743,22,46.018009185791,45.2799987792969,6,27.9017715454102,27.9017715454102,27.9017696380615
70,8,0,-0.144999995827675,0,1,100.099998474121,0,2.90000009536743,24.3333301544189,47.1089096069336,42.9466705322266,7,25.5684413909912,25.5684413909912,25.5684394836426
71,8,0,-0.123000003397465,0,1,101.699996948242,0,2.90000009536743,24.5245800018311,46.550910949707,42.7554206848145,8,25.3771915435791,25.3771915435791,25.3771896362305
72,8,0,-0.125,1,0,103.5,1,2.90000009536743,41.3688583374023,56.6911888122559,25.9111404418945,9,3.65345764160156,3.65345764160156,6.09727350870768
73,8,0,-0.0659999996423721,0,0,105,2,2.90000009536743,64.6277923583984,54.4766807556152,2.65220999717712,10,9.88898086547852,9.88898086547852,17.0724989573161
74,8,0,-0.151999995112419,0,1,116.800003051758,3,2.90000009536743,62.5878601074219,56.3880004882812,4.69214010238647,11,0.865959167480469,0.865959167480469,15.5024670192174
75,8,1,-0.0399999991059303,0,1,114.400001525879,3,2.90000009536743,75,52.9610900878906,4,12,10.9336090087891,10.9336090087891,14.2862857471813
64,9,0,-0.275000005960464,1,0,62.6100006103516,0,15.3000001907349,50.2916717529297,31.6765403747559,20.7083301544189,1,0,0.478321075439453,0.478321502606072
65,9,0,-0.210999995470047,0,0,64.9800033569336,0,15.3000001907349,28.75,17.2858200073242,42.25,2,20.5,20.5,20.5
66,9,0,-0.243000000715256,1,0,67.9800033569336,0,15.3000001907349,28.5833301544189,16.9889392852783,42.4166717529297,3,20.6666698455811,20.6666698455811,20.6666698455811
67,9,0,0.0020000000949949,0,0,71.1600036621094,0,15.3000001907349,17.2924194335938,19.3406505584717,53.7075805664062,4,31.9575805664062,31.9575805664062,31.9575805664062
68,9,0,-0.0280000008642673,0,1,75.3099975585938,0,15.3000001907349,13.8848495483398,17.0971508026123,57.1151504516602,5,36.0169219970703,36.0169219970703,36.0169200897217
69,9,0,-0.0370000004768372,0,1,77.6800003051758,0,15.3000001907349,20.5249996185303,22.6926898956299,50.4749984741211,6,29.3767719268799,29.3767719268799,29.3767700195312
70,9,0,-0.034000001847744,1,0,82.1999969482422,0,15.3000001907349,21.5625,24.9406700134277,49.4375,7,28.3392715454102,28.3392715454102,28.3392696380615
71,9,0,-0.0480000004172325,0,0,85.5299987792969,0,15.3000001907349,42.4500007629395,31.3067607879639,28.5499992370605,8,7.4517707824707,7.4517707824707,7.45176887512207
72,9,0,-0.0900000035762787,0,1,87.4000015258789,0,15.3000001907349,31.5,24.9789199829102,39.5,9,13.5223159790039,13.5223159790039,15.1487998962402
73,9,0,-0.00100000004749745,0,1,88.5999984741211,0,15.3000001907349,50.5416717529297,36.4441299438477,20.4583301544189,10,4.19713973999023,4.19713973999023,12.3810812632243
74,9,0,0.0240000002086163,1,0,99,0,15.3000001907349,45.625,28.8664207458496,25.375,11,16.0969009399414,16.0969009399414,15.5230696541922
75,9,0,-0.0320000015199184,0,0,98.9199981689453,0,15.3000001907349,47.8333282470703,33.0710716247559,23.1666698455811,12,16.2330627441406,16.2330627441406,18.4376508539373
76,9,0,-0.131999999284744,0,1,94.1600036621094,0,15.3000001907349,47.6666717529297,34.1332397460938,23.3333301544189,13,18.8794097900391,18.8794097900391,19.2761735916138
77,9,0,-0.145999997854233,0,1,98.3000030517578,0,15.3000001907349,43.25,30.7215404510498,27.75,14,23.2960815429688,23.2960815429688,22.2206214269002
78,9,0,-0.100000001490116,1,0,100,0,15.3000001907349,38.8333282470703,27.0587596893311,32.1666717529297,15,27.7127532958984,27.7127532958984,25.3833246231079
79,9,0,-0.0160000007599592,0,0,104.900001525879,0,15.3000001907349,44.1785697937012,30.8632106781006,26.8214302062988,16,11.515552520752,11.515552520752,20.4554622356708
80,9,0,-0.025000000372529,0,1,102.300003051758,0,15.3000001907349,47.25,31.8686103820801,23.75,17,8.44412231445312,8.44412231445312,18.3290874774639
81,9,0,-0.0109999999403954,0,1,103.699996948242,0,15.3000001907349,44.1666717529297,29.4955997467041,26.8333301544189,18,11.5274505615234,11.5274505615234,20.4636993408203
82,9,0,-0.0260000005364418,1,0,107.400001525879,0,15.3000001907349,46.375,31.8475704193115,24.625,19,2.88956069946289,2.88956069946289,18.9186762401036
83,9,0,-0.105999998748302,0,0,109.199996948242,0,15.3000001907349,56.75,37.5182418823242,14.25,20,3.76056671142578,3.76056671142578,17.2167941331863
84,9,0,-0.0829999968409538,0,1,110.699996948242,0,15.3000001907349,52.961540222168,36.205638885498,18.038459777832,21,1.34491348266602,1.34491348266602,16.9338932037354
85,9,0,0,0,1,118.099998474121,0,15.3000001907349,60,38.5874786376953,11,22,3.89625549316406,3.89625549316406,15.9135192689441
86,9,1,-0.0759999975562096,1,0,123,0,15.3000001907349,56.8461494445801,35.6692581176758,7.1038498878479,23,0.134395599365234,0.134395599365234,14.8174638748169
64,10,0,-0.280000001192093,0,1,53.2400016784668,0,31.1000003814697,61.5416717529297,41.9823188781738,2.40832996368408,1,0,10.7716789245605,10.7716784973939
65,10,0,-0.206000000238419,0,1,55.4799995422363,0,31.1000003814697,24.3181800842285,14.4180402755737,39.6318206787109,2,24.9318199157715,24.9318199157715,24.9318199157715
66,10,0,-0.210999995470047,1,0,60.4900016784668,0,31.1000003814697,25.0909099578857,14.3573398590088,38.8590888977051,3,24.1590900421143,24.1590900421143,24.1590900421143
67,10,0,0.0120000001043081,0,0,64.7600021362305,0,31.1000003814697,15.8500003814697,13.3201599121094,48.0999984741211,4,33.4000015258789,33.4000015258789,33.3999996185303
